frametime_ms,timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
0.0913,1759849362.6248982,19.2,29.8,40.0,49.0
0.0939,1759849362.6248982,19.2,29.8,40.0,49.0
0.093,1759849362.6248982,19.2,29.8,40.0,49.0
0.0955,1759849362.6248982,19.2,29.8,40.0,49.0
0.0967,1759849362.6248982,19.2,29.8,40.0,49.0
0.0952,1759849362.6248982,19.2,29.8,40.0,49.0
0.0884,1759849362.6248982,19.2,29.8,40.0,49.0
0.0913,1759849362.6248982,19.2,29.8,40.0,49.0
0.089,1759849362.6248982,19.2,29.8,40.0,49.0
0.0894,1759849362.6248982,19.2,29.8,40.0,49.0
0.0877,1759849362.6248982,19.2,29.8,40.0,49.0
0.0984,1759849362.6248982,19.2,29.8,40.0,49.0
0.0887,1759849362.6248982,19.2,29.8,40.0,49.0
0.0897,1759849362.6248982,19.2,29.8,40.0,49.0
0.0886,1759849362.6248982,19.2,29.8,40.0,49.0
0.0904,1759849362.6248982,19.2,29.8,40.0,49.0
0.0875,1759849362.6248982,19.2,29.8,40.0,49.0
0.0897,1759849362.6248982,19.2,29.8,40.0,49.0
0.0887,1759849362.6248982,19.2,29.8,40.0,49.0
0.0988,1759849362.6248982,19.2,29.8,40.0,49.0
0.085,1759849362.6248982,19.2,29.8,40.0,49.0
0.0905,1759849362.6248982,19.2,29.8,40.0,49.0
0.0888,1759849362.6248982,19.2,29.8,40.0,49.0
0.089,1759849362.6248982,19.2,29.8,40.0,49.0
