timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp,frametime_ms
1759848646.099751,15.0,29.0,39.0,54.0,0.0922
1759848646.200315,13.1,29.0,39.0,54.0,0.0922
1759848646.3005776,17.9,29.0,39.0,54.0,0.0922
1759848646.4011977,19.6,29.0,39.0,54.0,0.0922
1759848646.5018055,20.0,29.0,39.0,54.0,0.0922
1759848646.6022384,21.6,29.0,39.0,54.0,920.7542
1759848646.7027392,23.6,28.9,39.0,54.0,920.7542
1759848646.8034008,22.1,28.9,39.0,54.0,920.7542
1759848646.90404,16.0,28.9,39.0,54.0,920.7542
1759848647.0046282,15.7,29.0,39.0,54.0,0.1054
1759848647.1052814,14.0,29.0,39.0,54.0,0.0907
1759848647.2054834,21.0,29.0,39.0,54.0,0.0902
1759848647.3057747,17.6,29.0,39.0,54.0,0.0902
1759848647.4063506,16.2,29.0,39.0,55.0,0.0902
1759848647.5067651,16.7,29.0,39.0,55.0,0.0902
1759848647.6072104,18.6,29.0,39.0,55.0,0.0902
1759848647.707505,20.0,28.9,39.0,55.0,913.786
1759848647.8081586,18.6,28.9,39.0,55.0,913.786
1759848647.9085925,15.7,28.9,39.0,55.0,913.786
1759848648.009042,20.7,28.9,39.0,55.0,913.786
1759848648.1093743,21.8,28.9,39.0,55.0,0.0937
1759848648.2099595,32.5,28.9,39.0,55.0,0.0889
1759848648.3103652,15.5,28.9,39.0,55.0,0.1494
1759848648.4108138,20.0,28.9,39.0,54.0,0.1494
1759848648.5110524,17.9,28.9,39.0,54.0,0.1494
1759848648.6115024,17.0,28.9,39.0,54.0,607.9628
1759848648.7119546,20.9,28.9,39.0,54.0,607.9628
1759848648.8124852,18.4,28.9,39.0,54.0,607.9628
1759848648.9130604,16.7,28.9,39.0,55.0,0.0902
1759848649.0133913,16.2,28.9,39.0,55.0,0.0989
1759848649.1136906,21.8,28.9,39.0,55.0,0.0955
1759848649.2141223,23.3,28.9,39.0,55.0,0.0955
1759848649.3146882,26.5,29.0,39.0,55.0,0.0955
1759848649.4150672,25.0,28.9,39.0,55.0,0.0955
1759848649.515511,17.6,28.9,39.0,55.0,722.5976
1759848649.6158977,19.0,28.9,39.0,55.0,722.5976
1759848649.716401,20.0,28.9,39.0,55.0,722.5976
1759848649.8169844,18.0,28.9,39.0,55.0,0.0899
1759848649.9175985,14.2,28.9,37.0,55.0,0.0943
1759848650.0180554,17.2,28.9,37.0,55.0,0.089
1759848650.1185448,19.4,28.9,37.0,55.0,0.089
1759848650.2189796,18.5,28.9,37.0,55.0,0.089
1759848650.3193564,14.4,28.9,37.0,55.0,0.089
1759848650.4200015,12.1,28.9,37.0,55.0,0.089
1759848650.5205252,14.4,28.9,37.0,55.0,922.1371
1759848650.6210775,14.7,28.9,37.0,55.0,922.1371
1759848650.7214546,23.9,28.9,37.0,55.0,922.1371
1759848650.8222003,19.1,28.9,37.0,55.0,922.1371
1759848650.9229474,15.5,28.9,37.0,54.0,922.1371
1759848651.0232165,16.7,28.9,37.0,54.0,0.0899
1759848651.1236353,21.7,28.9,37.0,54.0,0.0883
1759848651.224336,21.6,28.9,37.0,54.0,0.0883
1759848651.3247309,18.9,28.9,37.0,54.0,0.0883
1759848651.4252446,21.2,28.9,37.0,55.0,0.0883
1759848651.5257926,19.7,28.9,37.0,55.0,0.0883
1759848651.626347,18.2,28.9,37.0,55.0,0.0883
1759848651.7266483,19.5,28.9,37.0,55.0,1071.8652
1759848651.8271172,14.4,28.9,37.0,55.0,1071.8652
1759848651.9275908,19.0,28.9,38.0,55.0,1071.8652
1759848652.0282004,17.4,28.9,38.0,55.0,1071.8652
1759848652.1287258,22.8,28.9,38.0,55.0,1071.8652
1759848652.2293713,15.7,28.9,38.0,55.0,0.0908
1759848652.329882,21.8,28.9,38.0,55.0,0.0926
1759848652.430212,20.9,28.9,38.0,55.0,0.089
1759848652.530727,17.0,28.9,38.0,55.0,0.0908
1759848652.6311877,18.0,28.9,38.0,55.0,0.0921
1759848652.7316935,18.1,28.9,38.0,55.0,170.6084
1759848652.832222,20.0,28.9,38.0,55.0,0.0871
1759848652.932601,11.4,28.9,38.0,55.0,0.0954
1759848653.0330262,18.0,28.9,38.0,55.0,0.0898
1759848653.1336691,21.8,28.9,38.0,55.0,0.0898
1759848653.234272,16.8,28.9,38.0,55.0,0.0898
1759848653.33473,18.3,28.9,38.0,55.0,763.7016
1759848653.4353433,21.9,28.9,38.0,55.0,763.7016
1759848653.5356145,20.0,28.9,38.0,55.0,763.7016
1759848653.6362126,17.4,28.9,38.0,55.0,763.7016
1759848653.7366743,17.1,28.9,38.0,55.0,0.0957
1759848653.8372605,20.9,28.9,38.0,55.0,0.101
1759848653.9376547,17.1,28.9,39.0,55.0,0.0926
1759848654.038338,19.1,28.9,39.0,55.0,0.0934
1759848654.1392226,16.8,29.0,39.0,55.0,0.0997
1759848654.2397318,19.0,29.0,39.0,55.0,0.0911
1759848654.3402915,18.8,28.9,39.0,55.0,318.4642
1759848654.4407728,14.3,28.9,39.0,55.0,318.4642
1759848654.5414824,18.6,28.9,39.0,55.0,0.0889
1759848654.6418726,22.1,28.9,39.0,55.0,0.0935
1759848654.742549,20.5,28.9,39.0,55.0,0.091
1759848654.8431468,24.2,28.9,39.0,55.0,280.9049
1759848654.9434574,21.6,28.9,40.0,55.0,280.9049
1759848655.0440102,22.2,28.9,40.0,55.0,0.0944
1759848655.1448402,19.0,28.9,40.0,55.0,0.0893
1759848655.2451334,21.4,28.9,40.0,55.0,0.1571
1759848655.3458183,17.2,28.9,40.0,55.0,0.1571
1759848655.4464116,19.8,28.9,40.0,55.0,439.1413
1759848655.5468173,15.5,28.9,40.0,55.0,439.1413
1759848655.6473577,21.8,28.9,40.0,55.0,0.0895
1759848655.7477202,18.9,28.9,40.0,55.0,0.0902
1759848655.8479311,28.7,28.9,39.0,55.0,0.0954
1759848655.9484437,15.7,28.9,39.0,55.0,175.2195
1759848656.0490258,13.5,28.9,39.0,55.0,0.0908
1759848656.1492774,22.4,28.9,39.0,55.0,0.1027
1759848656.2498963,16.3,28.9,39.0,55.0,0.0908
1759848656.3502123,18.2,28.9,39.0,55.0,0.0908
1759848656.4506235,16.3,28.9,39.0,55.0,0.0908
1759848656.551324,18.4,28.9,39.0,55.0,755.4958
1759848656.651651,17.4,28.9,39.0,55.0,755.4958
1759848656.7522347,15.5,28.9,39.0,55.0,755.4958
1759848656.8527858,23.6,28.9,40.0,55.0,755.4958
